date,account_code,account_name,description,debit,credit,source_type,period
2024-01-05,40100,Revenue Stream 1,Client A - January invoice,0,15000,invoice,2024-01
2024-01-08,40200,Revenue Stream 2,Client B - consulting,0,8000,invoice,2024-01
2024-01-10,50100,Web Domain & Hosting Fees,AWS hosting January,1200,0,bill,2024-01
2024-01-12,60100,Advertising & Marketing,Google Ads January,3000,0,credit_card,2024-01
2024-01-15,60600,Salaries & Wages,Staff salaries January,12000,0,bank_transaction,2024-01
2024-01-18,60420,Rent & Lease,Office rent January,4500,0,bank_transaction,2024-01
2024-01-20,60200,Bank Charges & Fees,Bank service fees,150,0,bank_transaction,2024-01
2024-01-22,60800,Utilities,Electricity & internet,800,0,bill,2024-01
2024-01-25,80100,Depreciation Expense,Monthly depreciation,500,0,journal_entry,2024-01
2024-01-28,80200,Interest Expense,Loan interest,300,0,bank_transaction,2024-01
2024-02-05,40100,Revenue Stream 1,Client A - February invoice,0,15000,invoice,2024-02
2024-02-06,40300,Revenue Stream 3,New client onboarding,0,5000,invoice,2024-02
2024-02-10,50100,Web Domain & Hosting Fees,AWS hosting February,1200,0,bill,2024-02
2024-02-12,60100,Advertising & Marketing,Google Ads February,2500,0,credit_card,2024-02
2024-02-15,60600,Salaries & Wages,Staff salaries February,12000,0,bank_transaction,2024-02
2024-02-18,60420,Rent & Lease,Office rent February,4500,0,bank_transaction,2024-02
2024-02-20,70100,Interest Income,Savings account interest,0,120,bank_transaction,2024-02
2024-02-22,60800,Utilities,Electricity & internet,750,0,bill,2024-02
2024-02-25,80100,Depreciation Expense,Monthly depreciation,500,0,journal_entry,2024-02
2024-02-28,80200,Interest Expense,Loan interest,300,0,bank_transaction,2024-02
2024-03-05,40100,Revenue Stream 1,Client A - March invoice,0,18000,invoice,2024-03
2024-03-07,40400,Subscription Revenue,SaaS product subscriptions,0,3500,invoice,2024-03
2024-03-10,50100,Web Domain & Hosting Fees,AWS hosting March,1400,0,bill,2024-03
2024-03-12,60100,Advertising & Marketing,Google Ads March,3500,0,credit_card,2024-03
2024-03-15,60600,Salaries & Wages,Staff salaries March,12000,0,bank_transaction,2024-03
2024-03-18,60420,Rent & Lease,Office rent March,4500,0,bank_transaction,2024-03
2024-03-20,60510,Accounting Fees,Quarterly bookkeeping,2000,0,bill,2024-03
2024-03-22,60800,Utilities,Electricity & internet,820,0,bill,2024-03
2024-03-25,80100,Depreciation Expense,Monthly depreciation,500,0,journal_entry,2024-03
2024-03-28,80200,Interest Expense,Loan interest,300,0,bank_transaction,2024-03
